(-150.000000,-0.000000)
(-139.655172,-0.000000)
(-129.310345,-0.000000)
(-118.965517,-0.000000)
(-108.620690,-0.000000)
(-98.275862,-0.000000)
(-87.931034,-0.000000)
(-77.586207,-0.000000)
(-67.241379,-0.000000)
(-56.896552,-0.000000)
(-46.551724,-0.000000)
(-36.206897,-0.000000)
(-25.862069,-0.000000)
(-15.517241,-0.000000)
(-5.172414,-0.000000)
(5.172414,0.000000)
(15.517241,0.000000)
(25.862069,0.000000)
(36.206897,0.000000)
(46.551724,0.000000)
(56.896552,0.000000)
(67.241379,0.000000)
(77.586207,0.000000)
(87.931034,0.000000)
(98.275862,0.000000)
(108.620690,0.000000)
(118.965517,0.000000)
(129.310345,0.000000)
(139.655172,0.000000)
(150.000000,0.000000)
